seq,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
HEATER_PUMP,,,,100,,,,50,,,50,,,50,,,,50,100,,,,,,,,,,,,,,,,,,,,
HEATER_VALVE_OPEN,,,,,1,,,1,1,,1,,,,,1,,,1,1,1,,1,,,,,1,,,,,,,1,,,,
HEATER_VALVE_CLOSE,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,1,1,,1,,,,1,1,,1,,
HEATER_TEMP,,,40,,,60,,,40,,,60,40,,,60,,40,,,60,,40,,,60,,,,,,,40,,,60,,,
ATOM_PW,,,,1,,,,,,,,1,,,1,,,,,,,1,,,,1,,,,1,,,1,,,,1,,
ATOM_PUMP,,,,100,,,,50,,,50,,,50,,,,50,100,100,,,,,100,,,,50,,,50,,,50,,,,50
ATOM_VALVE_OPEN,,1,,,,,,,,,1,,1,,,,,,,1,,1,,,,,1,1,,,,,,1,1,,,,
ATOM_VALVE_CLOSE,,,1,,,,,,1,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,
NANO_PUMP,,1000,,,,,,,2000,,2000,,,,1000,1000,1000,,,,,,,,,,,1000,1000,1000,1000,,1000,1000,,,,,
FILTER_VALVE_OPEN,,,1,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
FILTER_VALVE_CLOSE,,,,1,,1,1,,,,,,,,,,,1,,1,,,,1,,,,1,,1,,,,,1,,1,,
